BAB;K_NR1;K_TYP1;VON;K_NR2;K_TYP2;NACH;KM;STATUS
  1;126 ;AD  ;Wittlich, Kreuz                                   ;127 ;AS  ;Salmtal                                           ; 5,9;11
  1;127 ;AS  ;Salmtal                                           ;128 ;AS  ;Föhren                                            ; 6,6;11
  1;128 ;AS  ;Föhren                                            ;129 ;AS  ;Schweich (A1)                                     ; 3,5;11
  1;129 ;AS  ;Schweich (A1)                                     ;130 ;AD  ;Moseltal, Dreieck                                 ; 2,9;11
  1;130 ;AD  ;Moseltal, Dreieck                                 ;131 ;AS  ;Mehring                                           ; 8,1;11
  1;131 ;AS  ;Mehring                                           ;132 ;AS  ;Reinsfeld                                         ;13,5;11
  1;132 ;AS  ;Reinsfeld                                         ;133 ;AS  ;Hermeskeil                                        ; 2,1;11
  1;133 ;AS  ;Hermeskeil                                        ;134 ;AS  ;Nonnweiler-Bierfeld                               ; 7,1;11
  1;134 ;AS  ;Nonnweiler-Bierfeld                               ;135 ;AD  ;Nonnweiler, Dreieck                               ; 2,3;11
  1;136 ;AS  ;Nonnweiler, Dreieck                               ;137 ;AS  ;Nonnweiler-Braunshausen                           ; 2,3;11
  1;137 ;AS  ;Nonnweiler-Braunshausen                           ;138 ;AS  ;Nonnweiler-Primstal                               ; 8,1;11
  1;138 ;AS  ;Nonnweiler-Primstal                               ;139 ;AS  ;Tholey-Hasborn                                    ; 3,2;11
  1;139 ;AS  ;Tholey-Hasborn                                    ;140 ;AS  ;Tholey                                            ; 3,9;11
  1;140 ;AS  ;Tholey                                            ;141 ;AS  ;Eppelborn                                         ; 6,1;11
  1;141 ;AS  ;Eppelborn                                         ;142 ;AS  ;Illingen                                          ; 5,1;11
  1;142 ;AS  ;Illingen                                          ;143 ;AK  ;Saarbrücken, Kreuz                                ; 3,8;11
  1;143 ;AK  ;Saarbrücken, Kreuz                                ;144 ;AS  ;Quierschied                                       ; 1,9;11
  1;144 ;AS  ;Quierschied                                       ;145 ;AS  ;Holz                                              ; 3,2;11
  1;145 ;AS  ;Holz                                              ;146 ;AS  ;Riegelsberg                                       ; 3,3;11
  1;146 ;AS  ;Riegelsberg                                       ;147 ;AS  ;Saarbrücken-Neuhaus                               ; 1,1;11
  1;147 ;AS  ;Saarbrücken-Neuhaus                               ;146 ;AS  ;Riegelsberg                                       ; 1,3;rr
