  9;19  ;AK  ;Rippachtal, Kreuz                                 ;20  ;AS  ;Weißenfels                                        ; 7,8;11
  9;20  ;AS  ;Weißenfels                                        ;21a ;AS  ;Naumburg                                          ;10,3;11
  9;21a ;AS  ;Naumburg                                          ;21b ;AS  ;Droyßig                                           ; 5,8;11
  9;21b ;AS  ;Droyßig                                           ;22  ;AS  ;Eisenberg                                         ;10,3;11
  9;22  ;AS  ;Eisenberg                                         ;23  ;AS  ;Bad Klosterlausnitz                               ; 7,3;11
  9;23  ;AS  ;Bad Klosterlausnitz                               ;24  ;AK  ;Hermsdorfer Kreuz                                 ; 3,6;11
  9;24  ;AK  ;Hermsdorfer Kreuz                                 ;25  ;AS  ;Hermsdorf-Süd                                     ; 2,0;11
  9;25  ;AS  ;Hermsdorf-Süd                                     ;26  ;AS  ;Triptis                                           ;15,8;11
  9;26  ;AS  ;Triptis                                           ;27  ;AS  ;Dittersdorf                                       ; 9,7;11
  9;27  ;AS  ;Dittersdorf                                       ;28  ;AS  ;Schleiz                                           ;13,0;11
  9;28  ;AS  ;Schleiz                                           ;29  ;AS  ;Lobenstein                                        ;12,6;11
  9;29  ;AS  ;Lobenstein                                        ;30  ;AS  ;Rudolphstein                                      ; 4,5;11
  9;30  ;AS  ;Rudolphstein                                      ;31  ;AS  ;Berg/Bad Steben                                   ; 5,3;11
  9;31  ;AS  ;Berg/Bad Steben                                   ;32  ;AS  ;Naila/Selbitz                                     ; 4,2;11
  9;32  ;AS  ;Naila/Selbitz                                     ;33  ;AD  ;Bayerisches Vogtland, Dreieck                     ; 1,8;11
  9;33  ;AD  ;Bayerisches Vogtland, Dreieck                     ;34  ;AS  ;Hof-West                                          ; 3,6;11
  9;34  ;AS  ;Hof-West                                          ;35  ;AS  ;Münchberg-Nord                                    ;10,3;11
  9;35  ;AS  ;Münchberg-Nord                                    ;36  ;AS  ;Münchberg-Süd                                     ; 4,5;11
  9;36  ;AS  ;Münchberg-Süd                                     ;37  ;AS  ;Gefrees                                           ; 9,9;11
